elapsed,ok/s,429/s,503/s,500/s,p95ms,cpu,pods,hit%,dbq/s,shed
0,30.300000000000004,0.0,0.0,0.0,71.73963133640554,0.16478356666666644,2.0,4.512635379061371,37.96666666666667,0.0
15,34.86666666666667,0.0,0.0,0.0,72.36274509803923,0.16478356666666644,2.0,6.803797468354431,42.099999999999994,0.0
30,38.733333333333334,0.0,0.0,0.0,72.33754512635379,0.17759073333333314,2.0,8.22873082287308,46.16666666666667,0.0
45,34.86666666666667,0.0,0.0,0.0,72.43927125506073,0.17759073333333314,2.0,9.331259720062208,40.93333333333334,0.0
60,28.0,0.0,0.0,0.0,72.67587939698488,0.14012906666666688,2.0,8.365758754863812,32.2,0.0
75,28.4,0.0,0.0,0.0,72.2037914691943,0.14012906666666688,2.0,8.26923076923077,33.5,0.0
90,32.43333333333334,0.0,0.0,0.0,73.48628691983124,0.17038963333333312,2.0,7.130730050933785,38.33333333333333,0.0
105,36.96666666666667,0.0,0.0,0.0,72.43827160493822,0.17038963333333312,2.0,5.959302325581395,42.8,0.0
120,40.83333333333333,0.0,0.0,0.0,71.82055749128921,0.19454166666666683,2.0,6.973684210526316,47.46666666666667,0.0
135,45.733333333333334,0.0,0.0,0.0,72.38439306358381,0.19454166666666683,2.0,9.631391200951247,51.5,0.0
150,50.89999999999999,0.0,0.0,0.0,72.51044568245125,0.25042016666666694,2.0,10.942578548212351,54.8,0.0
165,54.733333333333334,0.0,0.0,0.0,73.58739837398373,0.25042016666666694,2.0,10.01011122345804,59.3,0.0
180,59.866666666666674,0.0,0.0,0.0,72.78508771929822,0.29307079999999963,2.0,9.793351302785267,65.3,0.0
196,66.56666666666666,0.0,0.0,0.0,72.93399168399168,0.29307079999999963,2.0,11.658456486042697,70.36666666666667,0.0
211,73.46666666666667,0.0,0.0,0.0,73.03982725527828,0.3650966333333332,2.0,11.372251705837755,77.83333333333334,0.0
226,80.73333333333333,0.0,0.0,0.0,72.09005376344085,0.3650966333333332,2.0,10.08174386920981,85.4,0.0
241,86.6,0.0,0.0,0.0,72.7536525974026,0.4018280666666669,2.0,11.403508771929822,89.2,0.0
256,93.43333333333334,0.0,0.0,0.0,73.39837712519324,0.4018280666666669,2.0,12.369337979094077,95.8,0.0
271,101.43333333333334,0.0,0.0,0.0,72.96062138728321,0.4511768000000004,2.0,12.34567901234568,102.96666666666667,0.0
286,109.0,0.0,0.0,0.0,72.65561569688768,0.4511768000000004,2.0,13.24269889224572,108.5,0.0
301,120.06666666666666,0.0,0.0,0.0,83.27669902912594,0.5834693999999998,2.0,14.226519337016576,118.23333333333333,0.0
316,134.03333333333333,0.0,0.0,0.0,83.98255813953496,0.5834693999999998,2.0,14.36734693877551,130.76666666666665,0.0
331,149.13333333333333,0.0,0.0,0.0,80.16423357664235,0.6867413333333334,2.0,15.433246560059501,141.5,0.0
346,162.9,0.0,0.0,0.0,75.08196721311474,0.6867413333333334,2.0,15.124615909866845,154.33333333333334,0.0
361,177.13333333333333,0.0,0.0,0.0,73.03426601784265,0.7443089333333335,2.0,15.529707639107198,167.33333333333331,0.0
377,192.36666666666665,0.0,0.0,0.0,73.7773378582202,0.7443089333333335,2.0,17.01754385964912,175.56666666666666,0.0
392,207.36666666666665,0.0,0.0,0.0,79.14201183431933,0.8770512999999996,2.0,18.255468539022417,182.93333333333334,0.0
407,222.83333333333331,0.0,0.0,0.0,89.61294416243673,0.8770512999999996,2.0,18.624203821656057,190.7,0.0
422,245.9,0.0,0.0,0.0,98.30631399317397,1.0269195666666666,2.0,18.803616971945285,208.7,0.0
437,273.59999999999997,0.0,0.0,0.0,185.0326797385621,1.0269195666666666,2.0,19.746524938675392,231.23333333333335,2.0
452,293.0333333333333,16.0,0.0,0.0,414.4783118405621,1.1934031333333337,2.0,20.293165810013324,243.53333333333333,242.0
467,304.6666666666667,25.666666666666664,0.0,0.0,510.8829568788499,1.1934031333333337,2.0,20.757547346709167,243.86666666666667,967.0
482,283.23333333333335,125.5,0.0,0.0,654.0231788079464,1.2862759666666665,2.0,21.038587848932675,222.4,3272.0
497,284.56666666666666,141.23333333333335,0.0,0.0,668.2200748129673,1.2862759666666665,2.0,20.753172329103556,222.26666666666665,5203.0
512,318.8666666666667,139.4,0.0,0.03333333333333333,587.7518315018308,1.233424433333333,2.0,21.55522718876986,239.1,7454.0
528,203.63333333333335,147.26666666666665,0.0,0.23333333333333334,645.5514705882351,1.233424433333333,2.0,21.592244418331372,151.10000000000002,4492.0
543,237.0,295.26666666666665,0.0,0.03333333333333333,715.2291105121287,1.2523668999999993,2.0,21.3689337276048,174.96666666666667,9841.0
558,289.6333333333333,390.0,0.0,0.3333333333333333,678.8934426229505,1.2523668999999993,2.0,21.47535702781059,211.53333333333333,16188.0
573,280.8666666666667,479.50000000000006,0.0,0.5,712.5188253012045,1.254210533333334,2.0,20.335144927536234,202.63333333333333,24221.0
588,259.26666666666665,582.3333333333333,0.0,0.16666666666666666,759.5338983050876,1.254210533333334,2.0,19.443754656071523,186.86666666666667,33646.0
603,250.26666666666665,665.5333333333334,0.0,0.0,766.0290237467019,1.2431176666666672,2.0,19.2259985115356,183.53333333333333,44180.0
618,251.23333333333335,738.6,0.0,0.26666666666666666,743.4640522875815,1.2431176666666672,2.0,19.361131431358206,184.56666666666666,55804.0
633,225.13333333333333,801.5666666666667,0.0,0.5666666666666667,737.7838427947595,1.096787333333333,2.0,19.26270342079043,134.83333333333334,31287.0
