elapsed,ok/s,429/s,503/s,500/s,p95ms,cpu,pods,hit%,dbq/s,shed
0,0.0,0.0,0.0,0.0,0.0,0.02527933333333351,2.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.019069199999999387,2.0,0.0,0.0,0.0
30,1.1,0.0,0.0,0.0,73.91666666666666,0.019069199999999387,2.0,0.0,2.1666666666666665,0.0
45,11.833333333333332,0.0,0.0,0.0,71.98943661971828,0.0426203666666668,2.0,2.586206896551724,12.766666666666666,0.0
60,25.000000000000004,0.0,0.0,0.0,70.49999999999999,0.0426203666666668,2.0,2.569593147751606,27.866666666666667,0.0
75,32.233333333333334,0.0,0.0,0.0,71.49621212121208,0.1515974333333336,2.0,8.108108108108109,36.83333333333333,0.0
90,36.93333333333334,0.0,0.0,0.0,72.50514403292178,0.1515974333333336,2.0,8.082408874801903,41.43333333333334,0.0
105,40.8,0.0,0.0,0.0,72.81358885017417,0.19045386666666667,2.0,8.855585831062672,48.3,0.0
120,48.13333333333333,0.0,0.0,0.0,72.2112211221122,0.19045386666666667,2.0,7.343941248470012,52.2,0.0
135,52.53333333333333,0.0,0.0,0.0,71.99766355140186,0.21398919999999955,2.0,6.800445930880713,56.166666666666664,0.0
150,56.93333333333334,0.0,0.0,0.0,72.436377245509,0.21398919999999955,2.0,8.186528497409327,60.766666666666666,0.0
165,62.366666666666674,0.0,0.0,0.0,72.19251336898397,0.24778006666666702,2.0,10.232558139534882,65.36666666666667,0.0
181,70.13333333333334,0.0,0.0,0.0,72.0918367346939,0.24778006666666702,2.0,10.860484544695073,72.19999999999999,0.0
196,77.89999999999999,0.0,0.0,0.0,71.81720430107526,0.27844673333333325,2.0,11.085801063022021,78.6,0.0
211,84.76666666666667,0.0,0.0,0.0,71.24217118997909,0.27844673333333325,2.0,11.744505494505493,84.23333333333333,0.0
226,92.06666666666666,0.0,0.0,0.0,71.0570017953321,0.32744873333333346,2.0,11.59235668789809,89.96666666666667,0.0
241,99.83333333333333,0.0,0.0,0.0,72.01322115384615,0.32744873333333346,2.0,13.033175355450236,94.6,0.0
256,108.16666666666667,0.0,0.0,0.0,72.87756598240473,0.3847575666666668,2.0,14.498346196251376,99.36666666666666,0.0
271,115.03333333333333,0.0,0.0,0.0,72.76315789473684,0.441258733333333,2.0,13.946280991735538,105.83333333333334,0.0
286,125.56666666666666,0.0,0.0,0.0,72.50942211055276,0.441258733333333,2.0,13.711583924349881,114.76666666666667,0.0
301,141.5,0.0,0.0,0.0,72.24281609195405,0.5079905000000003,2.0,14.45477599323753,125.5,0.0
316,155.8,0.0,0.0,0.0,73.52225672877844,0.5079905000000003,2.0,15.146890499809231,137.56666666666666,0.0
331,169.06666666666666,0.0,0.0,0.0,73.53868194842401,0.6240994666666665,2.0,16.433076384022424,148.0,0.0
347,183.96666666666667,0.0,0.0,0.0,72.61066610455313,0.6240994666666665,2.0,17.043253712072307,157.73333333333335,0.0
362,199.8,0.0,0.0,0.0,74.09186401833456,0.7550267666666663,2.0,17.397791703968966,169.16666666666666,0.0
377,213.63333333333333,0.0,0.0,0.0,185.54166666666714,0.7550267666666663,2.0,16.53543307086614,180.93333333333334,8.0
392,229.4333333333333,0.0,0.0,0.0,121.66083916083801,0.8500247333333333,2.0,16.057441253263708,192.8,8.0
407,252.13333333333333,0.0,0.0,0.0,72.44218749999995,0.8500247333333333,2.0,18.56839121190646,205.06666666666666,8.0
422,278.3,0.19999999999999998,0.0,0.0,247.72522522522533,1.0326671666666671,2.0,19.84536082474226,221.86666666666667,49.0
437,304.23333333333335,6.933333333333334,0.0,0.0,370.0226244343889,1.0326671666666671,2.0,20.836621941594313,236.5,174.0
452,324.40000000000003,18.766666666666666,0.0,0.0,456.8155674846623,1.1888616000000003,2.0,21.620626151012885,248.03333333333333,612.0
467,332.33333333333337,46.13333333333334,0.0,0.0,494.85169491525414,1.1888616000000003,2.0,21.74936617167693,253.0,1558.0
482,332.00000000000006,86.13333333333334,0.0,0.0,536.3218390804598,1.2647798999999993,2.0,21.86412744918513,247.16666666666666,3196.0
497,321.0666666666667,139.93333333333334,0.0,0.1,591.4113785557993,1.2647798999999993,2.0,21.331806907078803,236.43333333333334,5756.0
512,243.63333333333335,138.13333333333333,0.0,0.2,584.8828124999999,1.2311858666666675,2.0,17.493255862212074,175.56666666666666,3948.0
527,174.76666666666665,153.16666666666666,0.0,0.06666666666666667,605.2272727272717,1.2311858666666675,2.0,21.863536316947904,124.23333333333335,3440.0
543,271.1666666666667,243.63333333333333,0.0,0.044444444444444446,595.6745723172621,1.258669466666666,2.0,24.674970451859263,193.13333333333333,7738.0
558,350.43333333333334,347.8333333333333,0.0,0.0,622.969745222931,1.258669466666666,2.0,21.50880854459517,244.36666666666667,13875.0
573,348.3333333333333,427.6666666666667,0.0,0.16666666666666666,644.4928684627574,1.2756488000000008,2.0,22.507668711656446,235.9,20568.0
588,353.40000000000003,497.1,0.0,0.16666666666666666,632.2347266881027,1.2756488000000008,2.0,23.012392755004768,234.8,28788.0
603,337.0333333333333,591.9333333333333,0.0,0.0,669.9195906432749,1.2662592333333322,2.0,21.650933922474394,224.33333333333331,38326.0
618,315.79999999999995,691.2333333333333,0.0,0.0,705.860752056404,1.2662592333333322,2.0,20.80801620296344,211.66666666666666,49525.0
633,228.86666666666667,541.0,0.0,0.0,700.5568356374796,1.0083711333333336,2.0,20.98526566453341,150.96666666666667,25596.0
